English,Common,Medical
Cold,cold.n.03,cold.n.01
Discharge,discharge.n.02,discharge.n.04
Culture,culture.n.01 ,culture.n.04
Negative,negative.n.01,negative.a.04
Calculus,calculus.n.03,calculus.n.01
Stroke,stroke.n.01,stroke.n.03
Stool,stool.n.01,fecal_matter.n.01
Shock,daze.n.01,shock.n.04
Labor,labor.n.01,parturiency.n.01
Delivery,delivery.n.01,delivery.n.02
Pupil,student.n.01,pupil.n.02
Arrest,apprehension.n.04,asystole.n.01
Tablet,tablet.n.01,pill.n.02
Depression,depression.n.02,depression.n.01
Graft,bribery.n.01,graft.n.01
Cast,cast.n.01,cast.n.05
Expiration,termination.n.01,passing.n.02
Patient,patient.a.01,patient.n.01
Atlas,atlas.n.02,atlas.n.03
Labyrinth,maze.n.01,inner_ear.n.01
Vessel,vessel.n.02,vessel.n.01
Index,index.n.01,index.n.05
Block,block.n.01,obstruct.v.02
Immunity,unsusceptibility.n.01,immunity.n.02
Valve,valve.n.03,valve.n.01
Canal,canal.n.03,duct.n.01
Head,head.n.04,head.n.01
Leg,leg.n.03,leg.n.01
Arch,arch.n.01,arch.n.02
Tube,tube.n.01,tube.n.04
Tunic,tunic.n.02,tunic.n.01
Cage,cage.n.01,rib_cage.n.01
Cone,cone.n.02,cone.n.04
